path,image_name,label_name,label_idx,split
data\snowy\2374145211.jpg,2374145211.jpg,snowy,3,train
data\snowy\1336.jpg,1336.jpg,snowy,3,train
data\cloudy\30052029.jpg,30052029.jpg,cloudy,0,train
data\sunny\s2905.jpg,s2905.jpg,sunny,4,train
data\rainy\260138670.jpg,260138670.jpg,rainy,2,train
data\rainy\1809702505.jpg,1809702505.jpg,rainy,2,train
data\sunny\s0286.jpg,s0286.jpg,sunny,4,train
data\sunny\s2135.jpg,s2135.jpg,sunny,4,train
data\sunny\sunny weather-18.jpeg,sunny weather-18.jpeg,sunny,4,train
data\cloudy\cloudy day-33.jpeg,cloudy day-33.jpeg,cloudy,0,train
data\sunny\s4203.jpg,s4203.jpg,sunny,4,train
data\sunny\s2187.jpg,s2187.jpg,sunny,4,train
data\cloudy\c2520.jpg,c2520.jpg,cloudy,0,train
data\sunny\s0140.jpg,s0140.jpg,sunny,4,train
data\cloudy\c0655.jpg,c0655.jpg,cloudy,0,train
data\sunny\s0180.jpg,s0180.jpg,sunny,4,train
data\sunny\s0266.jpg,s0266.jpg,sunny,4,train
data\sunny\4063077.jpg,4063077.jpg,sunny,4,train
data\sunny\s0751.jpg,s0751.jpg,sunny,4,train
data\sunny\s3285.jpg,s3285.jpg,sunny,4,train
data\cloudy\c2828.jpg,c2828.jpg,cloudy,0,train
data\cloudy\cloudy52.jpg,cloudy52.jpg,cloudy,0,train
data\cloudy\c3898.jpg,c3898.jpg,cloudy,0,train
data\sunny\s028.jpg,s028.jpg,sunny,4,train
data\sunny\s4326.jpg,s4326.jpg,sunny,4,train
data\rainy\1223.jpg,1223.jpg,rainy,2,train
data\cloudy\c2758.jpg,c2758.jpg,cloudy,0,train
data\cloudy\c0410.jpg,c0410.jpg,cloudy,0,train
data\cloudy\c3278.jpg,c3278.jpg,cloudy,0,train
data\snowy\1074665136.jpg,1074665136.jpg,snowy,3,train
data\sunny\s4715.jpg,s4715.jpg,sunny,4,train
data\rainy\1752850624.jpg,1752850624.jpg,rainy,2,train
data\foggy\3406175115.jpg,3406175115.jpg,foggy,1,train
data\sunny\sunny sky-87.jpeg,sunny sky-87.jpeg,sunny,4,train
data\sunny\s3636.jpg,s3636.jpg,sunny,4,train
data\sunny\s1767.jpg,s1767.jpg,sunny,4,train
data\foggy\4120.jpg,4120.jpg,foggy,1,train
